1116,1116
1116,1109
1122,1103
1122,1097
1129,1090
1129,1084
1135,1077
1135,1071
1142,1058
1148,1045
1155,1032
1168,1019
1168,1013
1174,1013
1174,1000
1180,1000
1187,993
1193,987
1193,974
1200,974
1213,974
1213,968
1219,968
1226,968
1232,968
1239,961
1251,955
1271,955
1277,948
1284,948
1290,948
1297,948
1303,948
1310,948
1316,948
1322,955
1329,961
1335,961
1348,968
1355,974
1361,980
1368,987
1374,987
1374,993
1381,1000
1381,1006
1387,1013
1387,1019
1393,1026
1400,1026
1400,1032
1400,1038
1400,1045
1406,1051
1406,1058
1406,1064
1406,1071
1413,1077
1413,1084
1413,1090
1413,1097
1413,1109
1413,1116
1413,1122
1413,1129
1413,1142
1413,1148
1406,1148
1406,1161
1400,1168
1393,1180
1393,1187
1387,1200
1381,1206
1381,1213
1374,1213
1368,1226
1355,1226
1355,1232
1348,1232
1342,1232
1335,1232
1322,1232
1316,1232
1303,1232
1277,1232
1264,1232
1245,1232
1239,1232
1232,1232
1213,1232
1187,1232
1161,1232
1142,1226
1135,1219
1122,1213
1116,1206
1109,1206
1109,1200
1103,1200
1103,1193
1097,1193
1097,1187
1090,1180
1084,1174
1084,1168
1084,1161
1084,1155
1077,1155
1077,1148
1077,1142
1071,1135
1071,1129
1071,1122
1064,1122
1064,1116
1058,1103
1058,1097
1051,1090
1051,1077
1051,1071
1045,1058
1038,1045
1032,1038
1026,1026
1026,1019
1026,1013
1019,1006
1019,993
1013,987
1006,974
1000,968
1000,955
993,955
987,948
980,935
974,929
974,922
961,922
955,909
942,903
935,903
929,897
916,890
909,890
897,890
890,890
877,890
864,890
858,890
845,890
838,890
826,897
819,903
806,916
800,916
800,922
793,922
787,929
780,935
780,942
774,955
767,968
761,980
755,993
755,1000
742,1013
742,1032
742,1038
735,1051
729,1051
729,1064
729,1077
729,1084
729,1090
729,1097
729,1109
729,1116
729,1122
735,1135
735,1148
748,1161
748,1168
755,1180
761,1187
767,1200
774,1206
780,1213
787,1219
793,1226
793,1232
800,1232
800,1239
813,1245
819,1245
819,1251
826,1251
832,1258
838,1258
845,1258
851,1264
858,1264
864,1271
871,1271
877,1271
884,1271
890,1271
897,1271
909,1271
916,1271
922,1264
929,1264
929,1258
935,1258
942,1258
948,1251
955,1251
961,1251
961,1245
961,1239
968,1239
974,1232
974,1226
980,1226
980,1219
987,1213
987,1206
993,1200
1000,1200
1000,1193
1006,1187
1006,1180
1013,1174
1019,1174
1019,1168
1026,1168
1026,1161
1032,1161
1032,1155
1032,1148
1038,1148
1045,1148
