2026,1310
2032,1310
2045,1310
2052,1310
2065,1310
2071,1316
2090,1322
2097,1335
2110,1342
2116,1355
2123,1361
2136,1368
2136,1374
2142,1387
2142,1400
2142,1406
2142,1419
2142,1432
2142,1445
2142,1464
2142,1477
2142,1484
2136,1497
2129,1503
2129,1516
2116,1516
2103,1529
2090,1529
2084,1535
2065,1535
2045,1535
2026,1535
2006,1535
1981,1535
1961,1535
1936,1535
1923,1535
1910,1535
1890,1535
1877,1535
1871,1529
1858,1529
1832,1503
1819,1484
1806,1464
1794,1452
1774,1419
1774,1400
1774,1381
1774,1361
1774,1335
1774,1316
1774,1303
1774,1277
1787,1251
1800,1239
1813,1226
1832,1206
1858,1187
1897,1161
1948,1142
1994,1116
2019,1109
2039,1103
2077,1103
2084,1103
2123,1103
2148,1103
2168,1103
2187,1109
2219,1129
2245,1142
2265,1148
2284,1161
2303,1174
2323,1187
2336,1200
2349,1213
2361,1226
2374,1245
2381,1251
2394,1271
2400,1297
2407,1316
2413,1335
2413,1368
2420,1393
2426,1426
2426,1471
2426,1490
2426,1529
2426,1561
2426,1587
2420,1600
2407,1626
2394,1652
2381,1677
2361,1697
2336,1729
2316,1748
2278,1768
2226,1794
2194,1800
2148,1813
2116,1813
2077,1819
2039,1819
1994,1819
1936,1819
1890,1819
1839,1806
1781,1787
1716,1768
1677,1748
1606,1710
1581,1690
1548,1664
1522,1645
1497,1613
1471,1574
1445,1548
1426,1510
1413,1477
1400,1445
1374,1374
1368,1348
1368,1310
1368,1284
1368,1258
1393,1219
1426,1187
1484,1142
1522,1116
1568,1077
1613,1051
1671,1019
1806,968
1871,948
1936,929
1968,922
1987,922
2006,922
2032,922
2071,922
2103,922
2129,929
2174,942
2219,968
2252,987
2303,1013
2336,1032
2361,1058
2374,1064
2400,1090
2426,1116
2452,1135
2465,1155
2484,1180
2490,1200
2510,1232
2523,1284
2536,1329
2549,1381
2555,1432
2561,1484
2561,1529
2561,1574
2561,1613
2561,1645
2561,1664
2561,1684
2561,1697
2542,1735
2536,1742
2503,1781
2478,1806
2439,1832
2381,1865
2323,1897
2252,1936
2174,1968
2116,2000
2032,2026
1948,2045
1897,2065
1794,2084
1723,2084
1639,2084
1587,2084
1529,2084
1497,2084
1439,2077
1387,2045
1329,2000
1271,1948
1206,1890
1148,1839
1097,1774
1071,1729
1032,1664
1006,1606
993,1568
980,1510
968,1432
968,1368
968,1303
968,1239
968,1168
993,1045
1032,961
1071,897
1103,838
1148,780
1180,748
1239,716
1355,651
1484,587
1600,535
1723,503
1806,484
1884,477
1987,471
2052,471
2097,471
2148,471
2226,477
2284,490
2336,496
2381,509
2420,522
2471,542
2503,542
2568,574
2594,593
2645,606
2710,645
2774,677
2826,703
2891,735
2929,755
2981,793
3039,838
3097,890
3162,929
3258,1013
3310,1058
3342,1116
3355,1142
3368,1161
3381,1187
3388,1213
3400,1271
3413,1342
3413,1406
3413,1458
3413,1516
3413,1593
3413,1619
3413,1664
3413,1684
3413,1697
3413,1703
3413,1710
3413,1716
